id_incendio,data,hora,id_localizacao,id_causa,duracao_horas,areaTotal_ha,areaPov_ha,areaMato_ha,areaAgric_ha
1942461,2024-01-05 00:00:00,20,87378,376,0.63,0,0,0,0
1942462,2024-01-12 00:00:00,21,90229,357,1.43,0.2,0,0.2,0
1942463,2024-01-17 00:00:00,16,88767,376,0.95,0,0,0,0
1942464,2024-01-19 00:00:00,15,90341,376,0.41,0,0,0,0
1942465,2024-01-24 00:00:00,19,89590,376,0.58,0,0,0,0
1942466,2024-01-25 00:00:00,15,88612,320,1.63,3.3,0,3.3,0
1942467,2024-01-25 00:00:00,20,88879,320,1.41,0.5,0,0.5,0
1942468,2024-01-26 00:00:00,14,90341,376,0.85,0.01,0,0.01,0
1942469,2024-01-26 00:00:00,22,86949,359,1.7,0.11,0,0.11,0
1942470,2024-01-27 00:00:00,14,89929,320,2.23,3.49,0,3.49,0
1942471,2024-01-27 00:00:00,15,89490,318,0.95,0.05,0,0.05,0
1942472,2024-01-27 00:00:00,16,89929,320,0.91,6.01,0,6.01,0
1942473,2024-01-28 00:00:00,18,88978,317,0.43,0,0,0,0
1942474,2024-01-28 00:00:00,18,89052,375,0.56,0,0,0,0
1942475,2024-01-28 00:00:00,18,89377,374,0.98,0.05,0,0.05,0
1942476,2024-01-28 00:00:00,19,88028,320,0.43,0.44,0,0.44,0
1942477,2024-01-28 00:00:00,20,89920,320,1.55,1.12,0.05,1.06,0
1942478,2024-01-28 00:00:00,20,87265,320,1.21,0.01,0,0.01,0
1942479,2024-01-28 00:00:00,22,87183,320,0.78,0.3,0,0.3,0
1942480,2024-01-28 00:00:00,23,87197,317,0.53,0.01,0,0.01,0
1942481,2024-01-28 00:00:00,23,90392,320,1.36,1.88,0,1.88,0
1942482,2024-01-29 00:00:00,12,89758,320,0.38,0,0,0,0
1942483,2024-01-29 00:00:00,13,87438,378,0.9,0.11,0.1,0.01,0
1942484,2024-01-29 00:00:00,13,88269,319,1.28,0,0,0,0
1942485,2024-01-29 00:00:00,14,87481,316,0.68,0,0,0,0
1942486,2024-01-29 00:00:00,15,88434,320,0.56,0.5,0,0.5,0
1942487,2024-01-29 00:00:00,15,88278,317,2.4,2.76,0.95,1.8,0
1942488,2024-01-29 00:00:00,15,90374,313,0.51,0.05,0,0.05,0
1942489,2024-01-29 00:00:00,16,87473,320,0.96,8.6,0,8.6,0
1942490,2024-01-29 00:00:00,17,90312,320,1.65,3.55,0,3.55,0
1942491,2024-01-29 00:00:00,19,88269,320,0.71,0.71,0,0.71,0
1942492,2024-01-29 00:00:00,20,89929,320,2.31,1.24,0,1.24,0
1942493,2024-01-29 00:00:00,21,89378,320,5.28,2.65,0,2.65,0
1942494,2024-01-30 00:00:00,9,90312,379,1.41,47.37,1.27,46.1,0
1942495,2024-01-30 00:00:00,9,88600,320,5.95,16.01,0.57,15.44,0
1942496,2024-01-30 00:00:00,13,89079,320,1.28,0,0,0,0
1942497,2024-01-30 00:00:00,14,89807,320,3.23,0.05,0,0.05,0
1942498,2024-01-30 00:00:00,16,89929,320,1.23,0.73,0,0.73,0
1942499,2024-01-30 00:00:00,17,88708,319,0.53,0,0,0,0
1942500,2024-01-30 00:00:00,18,88719,320,1.85,1,0,1,0
1942501,2024-01-31 00:00:00,0,89280,320,1.26,0.7,0.7,0,0
1942502,2024-01-31 00:00:00,13,90300,374,0.61,0,0,0,0
1942503,2024-01-31 00:00:00,14,88185,317,1.01,0.5,0.5,0,0
1942504,2024-01-31 00:00:00,15,87963,319,0.13,0.1,0.09,0.01,0
1942505,2024-01-31 00:00:00,15,90361,316,0.88,0.13,0,0,0.13
1942506,2024-01-31 00:00:00,16,89629,378,0.38,0,0,0,0
1942507,2024-01-31 00:00:00,17,87025,291,0.83,0.01,0,0.01,0
1942508,2024-01-31 00:00:00,20,87691,317,6.7,40.16,13.73,26.43,0
1942509,2024-01-31 00:00:00,20,87126,316,0.51,0,0,0,0
1942510,2024-01-31 00:00:00,22,89271,320,14.71,77.82,0.98,76.84,0
1942511,2024-01-31 00:00:00,22,89081,375,1.75,3.15,3.09,0,0.06
1942512,2024-01-31 00:00:00,22,87711,320,1.18,0.1,0,0.1,0
1942513,2024-01-31 00:00:00,23,88719,374,1.65,0.5,0,0.5,0
1942514,2024-02-01 00:00:00,0,88719,320,0.6,0.3,0,0.3,0
1942515,2024-02-01 00:00:00,10,89341,376,0.53,0,0,0,0
1942516,2024-02-01 00:00:00,11,86588,333,0.6,0.01,0,0.01,0
1942517,2024-02-01 00:00:00,12,87499,375,0.6,0,0,0,0
1942518,2024-02-01 00:00:00,13,87793,317,0.63,0,0,0,0
1942519,2024-02-01 00:00:00,14,88377,319,2.46,0.81,0.8,0,0
1942520,2024-02-01 00:00:00,14,86517,290,0.66,0.35,0,0.35,0
1942521,2024-02-01 00:00:00,14,89079,320,2.4,5.8,0,5.8,0
1942522,2024-02-01 00:00:00,15,89729,319,1.25,0.15,0.15,0,0
1942523,2024-02-01 00:00:00,16,87280,376,0.53,0.28,0,0.28,0
1942524,2024-02-01 00:00:00,16,89973,317,0.71,0.56,0.56,0,0
1942525,2024-02-01 00:00:00,18,89920,375,4.43,6.2,1.72,4.27,0.2
1942526,2024-02-01 00:00:00,19,89879,324,1.91,3,0.5,2.5,0
1942527,2024-02-01 00:00:00,19,89287,376,1.1,0.02,0,0.02,0
1942528,2024-02-01 00:00:00,19,88995,376,2.03,0.4,0,0.4,0
1942529,2024-02-01 00:00:00,21,88706,320,0.95,49.08,1.21,47.85,0
1942530,2024-02-02 00:00:00,0,87337,317,2.21,0.22,0.22,0,0
1942531,2024-02-02 00:00:00,1,87307,319,4.13,3.37,3.37,0,0
1942532,2024-02-02 00:00:00,10,89669,320,1.55,1.9,0,1.9,0
1942533,2024-02-02 00:00:00,11,87139,378,2.26,1.45,0.32,1.13,0
1942534,2024-02-02 00:00:00,11,88096,317,0.91,0.12,0.12,0,0
1942535,2024-02-02 00:00:00,13,88100,320,0.9,1.05,0,1.05,0
1942536,2024-02-02 00:00:00,15,90192,316,0.65,0,0,0,0
1942537,2024-02-02 00:00:00,15,89909,376,0.86,0.71,0.53,0.18,0
1942538,2024-02-02 00:00:00,15,87406,319,1.26,0,0,0,0
1942539,2024-02-02 00:00:00,17,89929,320,7.63,31.12,0,31.12,0
1942540,2024-02-02 00:00:00,18,89557,320,2.16,0.99,0,0.99,0
1942541,2024-02-02 00:00:00,19,89587,374,0.18,0.02,0,0.02,0
1942542,2024-02-02 00:00:00,19,87690,320,3.56,0.23,0,0.23,0
1942543,2024-02-02 00:00:00,19,90018,324,1.41,0.29,0.2,0.09,0
1942544,2024-02-02 00:00:00,19,87368,376,0.6,0,0,0,0
1942545,2024-02-02 00:00:00,20,87691,320,2.7,1.04,0,1.04,0
1942546,2024-02-02 00:00:00,22,88704,376,1.16,0.4,0,0.4,0
1942547,2024-02-03 00:00:00,10,89002,317,0.65,0.13,0,0.13,0
1942548,2024-02-03 00:00:00,12,89079,320,3.08,15.36,0,13.54,1.8
1942549,2024-02-03 00:00:00,12,88627,320,2.86,2.1,0,2.1,0
1942550,2024-02-03 00:00:00,13,86804,319,0.58,0.02,0,0,0.02
1942551,2024-02-03 00:00:00,13,89215,320,3.55,31.44,0,31.44,0
1942552,2024-02-03 00:00:00,14,88538,375,0.25,0,0,0,0
1942553,2024-02-03 00:00:00,14,87065,378,0.36,0.05,0,0.05,0
1942554,2024-02-03 00:00:00,14,88268,376,1.7,0,0,0,0
1942555,2024-02-03 00:00:00,14,87884,324,1.25,0.47,0,0.47,0
1942556,2024-02-03 00:00:00,15,88579,320,1.46,7.73,0,7.73,0
1942557,2024-02-03 00:00:00,15,89504,374,0.33,0.02,0.02,0,0
1942558,2024-02-03 00:00:00,16,88801,378,3.63,10.84,1.17,9.67,0
1942559,2024-02-03 00:00:00,16,86634,309,2.53,5.23,4.51,0.31,0.4
1942560,2024-02-03 00:00:00,17,88135,317,1.1,0.52,0.3,0.21,0
1942561,2024-02-03 00:00:00,17,89315,376,0.7,0,0,0,0
1942562,2024-02-03 00:00:00,18,90341,376,0.58,0,0,0,0
1942563,2024-02-03 00:00:00,18,89105,314,0.71,0,0,0,0
1942564,2024-02-03 00:00:00,19,90065,376,0.91,0,0,0,0
1942565,2024-02-03 00:00:00,19,88851,320,2.05,0.13,0,0.13,0
1942566,2024-02-03 00:00:00,20,88271,290,1.05,0,0,0,0
1942567,2024-02-03 00:00:00,21,88706,320,2.3,3.6,0,3.6,0
1942568,2024-02-03 00:00:00,21,87884,320,0.98,0.63,0,0.63,0
1942569,2024-02-03 00:00:00,22,89100,374,1.8,0.03,0,0.03,0
1942570,2024-02-03 00:00:00,23,88228,373,1.35,0.1,0.1,0,0
1942571,2024-02-04 00:00:00,1,87541,320,1.73,1.19,0,1.19,0
1942572,2024-02-04 00:00:00,11,87049,316,0.81,0.02,0,0,0.02
1942573,2024-02-04 00:00:00,13,89863,374,0.66,0.02,0.01,0.01,0
1942574,2024-02-04 00:00:00,14,87963,379,0.81,0.01,0.01,0,0
1942575,2024-02-04 00:00:00,14,89759,320,4.1,49.26,8.54,40.72,0
1942576,2024-02-04 00:00:00,17,88269,288,0.75,0,0,0,0
1942577,2024-02-04 00:00:00,17,88272,374,1.65,0.5,0,0.5,0
1942578,2024-02-04 00:00:00,18,86979,374,1.58,0.56,0,0.56,0
1942579,2024-02-04 00:00:00,18,89984,290,4.4,10,0,10,0
1942580,2024-02-04 00:00:00,18,88162,320,1.48,0.3,0,0.3,0
1942581,2024-02-04 00:00:00,18,88269,320,0.15,0.03,0,0.03,0
1942582,2024-02-04 00:00:00,19,89022,320,0.83,0.3,0,0.3,0
1942583,2024-02-04 00:00:00,22,90126,378,1.93,0.24,0,0.24,0
1942584,2024-02-04 00:00:00,22,90141,375,0.85,0.06,0.06,0,0
1942585,2024-02-05 00:00:00,12,88809,319,0.76,0.01,0,0.01,0
1942586,2024-02-05 00:00:00,13,89022,320,1.21,0.16,0,0.16,0
1942587,2024-02-05 00:00:00,13,87240,317,0.88,0.01,0,0.01,0
1942588,2024-02-05 00:00:00,13,88874,319,2.15,0.6,0.6,0,0
1942589,2024-02-05 00:00:00,13,89112,317,2.73,0.41,0,0.41,0
1942590,2024-02-05 00:00:00,14,88706,320,3.2,0.01,0,0.01,0
