id_localizacao,concelho,distrito,freguesia
86475,Seia,Guarda,Sazes Da Beira
86476,Guarda,Guarda,Casal De Cinza
86477,Lamego,Viseu,Sande
86478,Alcobaça,Leiria,Benedita
86479,Póvoa De Lanhoso,Braga,Verim
86480,Barcelos,Braga,Pereira
86481,Bragança,Bragança,Gimonde
86482,Bragança,Bragança,Parâmio
86483,Sabugal,Guarda,Nave
86484,Guarda,Guarda,Gonçalo
86485,São Pedro Do Sul,Viseu,Pindelo Dos Milagres
86486,Tarouca,Viseu,Gouviães
86487,Soure,Coimbra,Samuel
86488,Lousada,Porto,Covas
86489,Valença,Viana Do Castelo,São Julião
86490,Sardoal,Santarém,Alcaravela
86491,Cinfães,Viseu,Alhões
86492,Peniche,Leiria,Peniche (Ajuda)
86493,Viana Do Castelo,Viana Do Castelo,Deocriste
86494,Castro Marim,Faro,Azinhal
86495,Miranda Do Corvo,Coimbra,Lamas
86496,Soure,Coimbra,Pombalinho
86497,Póvoa De Varzim,Porto,Amorim
86498,Ponte De Lima,Viana Do Castelo,Ardegão
86499,Monção,Viana Do Castelo,Barbeita
86500,Vila Franca De Xira,Lisboa,Vialonga
86501,Pinhel,Guarda,Pomares
86502,Almeida,Guarda,Malpartida
86503,Fundão,Castelo Branco,Soalheira
86504,São Pedro Do Sul,Viseu,Várzea
86505,Penalva Do Castelo,Viseu,Esmolfe
86506,Vouzela,Viseu,Queirã
86507,Fafe,Braga,Serafão
86508,Coimbra,Coimbra,Brasfemes
86509,Figueiró Dos Vinhos,Leiria,Figueiró Dos Vinhos
86510,Cantanhede,Coimbra,Camarneira
86511,Aveiro,Aveiro,São Bernardo
86512,Alcobaça,Leiria,Alpedriz
86513,Vila Nova De Famalicão,Braga,Lemenhe
86514,Estremoz,Évora,São Bento De Ana Loura
86515,Almeida,Guarda,Almeida
86516,Ansião,Leiria,Santiago Da Guarda
86517,Oliveira De Azeméis,Aveiro,Ul
86518,Marco De Canaveses,Porto,Rosem
86519,Viana Do Castelo,Viana Do Castelo,Serreleis
86520,Alcanena,Santarém,Minde
86521,Seixal,Setúbal,Seixal
86522,Macedo De Cavaleiros,Bragança,Espadanedo
86523,Mourão,Évora,Granja
86524,Estremoz,Évora,Estremoz (Santo André)
86525,Mértola,Beja,Corte Do Pinto
86526,Figueira De Castelo Rodrigo,Guarda,Vale De Afonsinho
86527,Mangualde,Viseu,Fornos De Maceira Dão
86528,São João Da Pesqueira,Viseu,São João Da Pesqueira
86529,Vila Verde,Braga,Gondiães
86530,Ponte De Lima,Viana Do Castelo,Labrujó
86531,Monção,Viana Do Castelo,Lordelo
86532,Mafra,Lisboa,Mafra
86533,Beja,Beja,Beja (Salvador)
86534,Alcácer Do Sal,Setúbal,Alcácer Do Sal (Santa Maria Do Castelo)
86535,Pinhel,Guarda,Safurdão
86536,Montemor-O-Velho,Coimbra,Abrunheira
86537,Oliveira De Azeméis,Aveiro,São Roque
86538,Ponte De Lima,Viana Do Castelo,Rebordões (Souto)
86539,Viana Do Castelo,Viana Do Castelo,Anha
86540,Murça,Vila Real,Fiolhoso
86541,Alter Do Chão,Portalegre,Seda
86542,Sabugal,Guarda,Ruivós
86543,Mortágua,Viseu,Vale De Remígio
86544,Figueira Da Foz,Coimbra,Brenha (Parte)
86545,Fafe,Braga,Arões (Santa Cristina)
86546,Ponte De Lima,Viana Do Castelo,Calheiros
86547,Arcos De Valdevez,Viana Do Castelo,Sabadim
86548,Terras De Bouro,Braga,Brufe
86549,Abrantes,Santarém,Vale De Mós
86550,Arganil,Coimbra,Barril De Alva
86551,Marco De Canaveses,Porto,Vila Boa Do Bispo
86552,Cadaval,Lisboa,Painho
86553,Vila Real,Vila Real,Pena
86554,Murça,Vila Real,Candedo
86555,Miranda Do Douro,Bragança,Malhadas
86556,Guarda,Guarda,Videmonte
86557,Guarda,Guarda,João Antão
86558,Almeida,Guarda,Monte Perobolço
86559,Covilhã,Castelo Branco,Erada
86560,Aveiro,Aveiro,Oliveirinha
86561,Mangualde,Viseu,Póvoa De Cervães
86562,Baião,Porto,Ancede
86563,Vimioso,Bragança,Caçarelhos
86564,Macedo De Cavaleiros,Bragança,Vilarinho De Agrochão
86565,Fundão,Castelo Branco,Valverde
86566,Tondela,Viseu,Silvares
86567,Amares,Braga,Bouro (Santa Marta)
86568,Chaves,Vila Real,Sanjurge
86569,Gavião,Portalegre,Comenda
86570,Odemira,Beja,Vila Nova De Milfontes
86571,Mealhada,Aveiro,Ventosa Do Bairro
86572,Póvoa De Lanhoso,Braga,São João De Rei
86573,Alenquer,Lisboa,Alenquer (Triana)
86574,Chaves,Vila Real,Travancas
86575,Alijó,Vila Real,Vilarinho De Cotas
86576,Évora,Évora,Malagueira
86577,Gouveia,Guarda,Vila Cortês Da Serra
86578,Fornos De Algodres,Guarda,Queiriz
86579,Guarda,Guarda,Ribeira Dos Carinhos
86580,Armamar,Viseu,Aldeias
86581,Mira,Coimbra,Seixo
86582,Pampilhosa Da Serra,Coimbra,Portela Do Fojo
86583,Condeixa-A-Nova,Coimbra,Condeixa-A-Nova
86584,Guimarães,Braga,Balazar
86585,Guimarães,Braga,Conde
86586,Benavente,Santarém,Santo Estêvão
86587,Vinhais,Bragança,Celas
86588,Alcobaça,Leiria,São Martinho Do Porto
86589,Baião,Porto,Gove
86590,Paredes,Porto,Sobrosa
86591,Carrazeda De Ansiães,Bragança,Amedo
86592,Mêda,Guarda,Marialva
86593,Vila Nova De Paiva,Viseu,Vila Cova À Coelheira
86594,Arganil,Coimbra,Moura Da Serra
86595,Póvoa De Varzim,Porto,Laundos
86596,Vieira Do Minho,Braga,Anjos
86597,Mafra,Lisboa,São Miguel De Alcainça
86598,Ourique,Beja,Conceição
86599,Moura,Beja,Santo Amador
86600,Sernancelhe,Viseu,Quintela
86601,Vila Franca De Xira,Lisboa,Calhandriz
86602,Miranda Do Douro,Bragança,Cicouro
86603,Montemor-O-Novo,Évora,Silveiras
86604,Figueira De Castelo Rodrigo,Guarda,Freixeda Do Torrão
86605,Armamar,Viseu,Cimbres
86606,Marco De Canaveses,Porto,Várzea Do Douro
86607,Marco De Canaveses,Porto,Ariz
86608,Mondim De Basto,Vila Real,Campanhó
86609,Lourinhã,Lisboa,Vimeiro
86610,Tomar,Santarém,Serra
86611,Valpaços,Vila Real,Veiga De Lila
86612,Silves,Faro,São Marcos Da Serra
86613,Portalegre,Portalegre,Alagoa
86614,Mêda,Guarda,Outeiro De Gatos
86615,Castelo Branco,Castelo Branco,Almaceda
86616,Oliveira De Frades,Viseu,Pinheiro
86617,Vila Do Conde,Porto,Touguinhó
86618,Mesão Frio,Vila Real,Vila Marim
86619,Macedo De Cavaleiros,Bragança,Ala
86620,Amarante,Porto,Várzea
86621,Maia,Porto,Gondim
86622,Melgaço,Viana Do Castelo,Alvaredo
86623,Vila Nova De Cerveira,Viana Do Castelo,Gondar
86624,Cadaval,Lisboa,Lamas
86625,Barreiro,Setúbal,Palhais
86626,Avis,Portalegre,Ervedal
86627,Fundão,Castelo Branco,Enxames
86628,Ponte De Lima,Viana Do Castelo,Rebordões (Santa Maria)
86629,Fafe,Braga,Armil
86630,Oeiras,Lisboa,Barcarena
86631,Vila Pouca De Aguiar,Vila Real,Vreia De Jales
86632,Vila Real,Vila Real,Lamares
86633,Vinhais,Bragança,Tuizelo
86634,Vinhais,Bragança,Mofreita
86635,Celorico Da Beira,Guarda,Carrapichana
86636,Trancoso,Guarda,Tamanhos
86637,Tondela,Viseu,Canas De Santa Maria
86638,Ílhavo,Aveiro,Gafanha Do Carmo
86639,Moimenta Da Beira,Viseu,Arcozelos
86640,Penela,Coimbra,Cumeeira
86641,Barcelos,Braga,Tamel (São Veríssimo)
86642,Lisboa,Lisboa,Ameixoeira
86643,Caldas Da Rainha,Leiria,Alvorninha
86644,Celorico De Basto,Braga,Basto (Santa Tecla)
86645,Lourinhã,Lisboa,Moita Dos Ferreiros
86646,Idanha-A-Nova,Castelo Branco,São Miguel De Acha
86647,Viseu,Viseu,Vil De Souto
86648,Sátão,Viseu,Forles
86649,Armamar,Viseu,Queimadela
86650,Porto,Porto,Ramalde
